category,resume_text
Data Science,"Experienced in Python, Pandas, NumPy, and Machine Learning. Built predictive models and classification systems."
Data Science,Worked on NLP projects using TF-IDF and Logistic Regression. Strong background in statistics and data preprocessing.
Data Science,"Skilled in data analysis, feature engineering, and model evaluation using precision, recall, and F1-score."
Data Science,Developed machine learning pipelines for fraud detection and customer churn prediction using scikit-learn.
Data Science,"Hands-on experience with regression, clustering, and supervised learning models using Python."
Data Science,Built dashboards and reports using Matplotlib and data visualization techniques.
Data Science,"Strong understanding of probability, linear algebra, and data science fundamentals."
Data Science,"Worked with large datasets using Pandas and performed cleaning, transformation, and analysis."
Data Science,Implemented Naive Bayes and Logistic Regression classifiers for text classification tasks.
Data Science,"Experience in model optimization, hyperparameter tuning, and cross-validation techniques."
Data Science,Built recommendation systems and similarity search engines using vectorization techniques.
Data Science,Worked on sentiment analysis and spam detection projects using classical NLP methods.
Data Science,Experienced in exploratory data analysis and statistical modeling for business problems.
Data Science,"Created end-to-end ML projects including training, testing, and deployment preparation."
Data Science,Worked on anomaly detection systems using Python and machine learning algorithms.
Data Science,"Skilled in data mining, model building, and evaluation metrics interpretation."
Data Science,Built AI solutions for classification and prediction in real-world datasets.
Data Science,"Strong knowledge of data cleaning, preprocessing, and feature extraction."
Data Science,Hands-on experience with supervised learning and evaluation using confusion matrix.
Data Science,Worked on structured and unstructured data processing using Python tools.
Web Development,"Frontend developer skilled in React, Next.js, JavaScript, HTML, CSS, and responsive web design."
Web Development,"Built web applications with React components, hooks, state management, and API integration."
Web Development,Experience in developing e-commerce websites with modern UI frameworks like Tailwind CSS.
Web Development,Worked on building admin dashboards and interactive user interfaces using React.
Web Development,"Skilled in frontend performance optimization, reusable components, and clean architecture."
Web Development,Built REST API integrated applications using JavaScript and asynchronous programming.
Web Development,Developed full-stack projects with frontend UI and backend API consumption.
Web Development,"Hands-on experience with Git, GitHub workflows, and deployment on Vercel."
Web Development,Created responsive landing pages and web apps using Bootstrap and modern CSS.
Web Development,"Worked with form handling, validation, and UI development in React."
Web Development,Built portfolio websites and business pages with modern frontend tools.
Web Development,"Experience with TypeScript, component-based development, and UI libraries."
Web Development,Developed SaaS-style dashboards with authentication and data visualization.
Web Development,Skilled in web development best practices and clean code structure.
Web Development,Built projects with API pipelines and async data fetching.
Web Development,Worked on frontend development using Material UI and Ant Design components.
Web Development,Developed reusable UI components and maintained design consistency.
Web Development,Built interactive web apps with React stateful and stateless components.
Web Development,Hands-on experience in deploying web applications and managing hosting.
Web Development,"Worked on client-side rendering, routing, and frontend architecture."
Marketing,"Digital marketing specialist skilled in SEO, social media strategy, and content creation."
Marketing,"Managed Google Ads campaigns, keyword research, and conversion optimization techniques."
Marketing,"Experience in social media marketing, brand engagement, and online promotions."
Marketing,"Worked on marketing analytics, customer targeting, and campaign performance evaluation."
Marketing,"Skilled in email marketing, lead generation, and customer acquisition strategies."
Marketing,Built marketing funnels and optimized ads for higher ROI and engagement.
Marketing,"Hands-on experience with content writing, brand storytelling, and promotions."
Marketing,Managed Instagram growth strategies and social media ad creatives.
Marketing,"Experience in market research, competitor analysis, and campaign planning."
Marketing,Worked on influencer marketing and digital outreach programs.
Marketing,"Skilled in marketing communication, brand positioning, and customer engagement."
Marketing,Built strategies for product marketing and online brand presence.
Marketing,"Experience with SEO tools, analytics platforms, and performance reporting."
Marketing,Managed online advertising campaigns across Facebook and Google platforms.
Marketing,Worked on customer segmentation and targeting strategies.
Marketing,Skilled in campaign optimization and marketing KPIs tracking.
Marketing,Developed marketing content calendars and promotional strategies.
Marketing,Hands-on experience with digital branding and social media promotions.
Marketing,Built marketing reports and dashboards for campaign performance.
Marketing,Worked on conversion rate optimization and customer retention strategies.
HR,"Human resource professional skilled in recruitment, onboarding, and employee engagement."
HR,"Experience in hiring processes, interview scheduling, and candidate evaluation."
HR,"Worked on payroll management, HR compliance, and employee record maintenance."
HR,"Skilled in talent acquisition, job postings, and recruitment strategy development."
HR,"Managed employee relations, workplace culture, and engagement programs."
HR,"Experience in HR policies, labor law compliance, and performance management."
HR,"Worked on training programs, employee development, and HR operations."
HR,"Skilled in conflict resolution, employee support, and HR documentation."
HR,Managed HR databases and handled employee onboarding workflows.
HR,"Experience in HR analytics, workforce planning, and employee retention."
HR,Worked on organizational development and performance evaluation systems.
HR,"Skilled in compensation planning, benefits administration, and HR reporting."
HR,Managed recruitment drives and candidate screening processes.
HR,"Experience with HR compliance, company policies, and employee management."
HR,Worked on employee engagement surveys and HR improvement strategies.
HR,"Skilled in HR operations, payroll processing, and onboarding procedures."
HR,"Managed employee records, attendance, and HR documentation tasks."
HR,Experience in workplace management and HR coordination activities.
HR,Worked on recruitment pipelines and candidate management systems.
HR,"Skilled in communication, hiring strategy, and employee development programs."
